codLocaleProgetto,ocStatoProgetto,ocCodCategoriaSpesa,longitude,latitude,codTemaSintetico
3TO10360.14072017.115000070_1072,In corso,13,10.77899,43.7114431,4
3TO10360.14072017.115000071_1073,In corso,13,11.096593,43.8805965,4
3TO10360.14072017.115000072_1074,In corso,13,11.7808078,43.0925289,4
3TO10360.14072017.115000074_1076,In corso,13,11.6676053,43.1889381,4
3TO10360.14072017.115000077_1079,Non avviato,13,10.4013088,43.7154909,4
3TO10360.14072017.115000078_1080,Non avviato,13,10.4013088,43.7154909,4
3TO10360.14072017.115000080_1081,In corso,13,10.7731684,43.604802,4
3TO10360.14072017.115000081_1084,In corso,13,10.7443079,43.9099906,4
3TO10360.14072017.115000082_1085,In corso,13,10.616237,43.8399556,4
3TO10360.14072017.115000086_1090,In corso,13,11.1672668,43.8651873,4
3TO10360.14072017.115000091_1095,In corso,13,11.35569,43.99716,4
3TO10360.14072017.115000093_1097,In corso,13,11.502035,43.345527,4
3TO10360.14072017.115000096_1100,In corso,13,11.1822382,43.7580964,4
3TO10360.14072017.115000097_1101,In corso,13,10.8776439,43.7595883,4
3TO10360.14072017.115000100_1105,In corso,13,10.2282527,43.9952307,4
3TO10360.14072017.115000101_1106,Non avviato,13,10.8101474,43.728694,4
3TO10360.14072017.115000102_1108,Non avviato,13,9.8829887,44.3768849,4
3TO10360.14072017.115000104_1110,Concluso,13,11.7718903,43.1667479,4
3TO10360.14072017.115000106_1111,In corso,13,10.5753833,43.8493313,4
3TO10360.14072017.115000107_1114,In corso,13,10.5753833,43.8493313,4
3TO10360.14072017.115000108_1089,Non avviato,13,11.7366972,43.2120852,4
3TO10360.14072017.115000109_1083,In corso,13,11.1138585,42.7601872,4
3TO10360.14072017.115000115_1123,In corso,13,10.5381458,43.1007918,4
3TO10360.14072017.115000116_1125,In corso,13,10.5381458,43.1007918,4
3TO10360.14072017.115000120_1128,Non avviato,13,10.6441489,43.1282971,4
3TO10360.14072017.115000122_1112,In corso,13,10.3952382,43.7215098,4
3TO10360.14072017.115000125_1132,In corso,13,11.2385135,44.0031504,4
3TO10360.14072017.115000127_1134,In corso,13,10.2282527,43.9952307,4
3TO10360.14072017.115000128_1135,In corso,13,10.2282527,43.9952307,4
3TO10360.14072017.115000131_1138,In corso,13,10.7604721,43.6687879,4
3TO10360.14072017.115000141_1149,In corso,13,11.1075195,42.7671915,4
3TO10360.14072017.115000145_1153,In corso,13,11.5459543,44.1141256,4
3TO10360.14072017.115000147_1155,In corso,13,11.709568,43.507829,4
3TO10360.14072017.115000148_1156,In corso,13,11.3543488,43.9906292,4
3TO10360.14072017.115000149_1157,In corso,13,11.567521,43.523713,4
3TO10360.14072017.115000152_1159,In corso,13,11.1674427,43.0113049,4
3TO10360.14072017.115000153_1161,In corso,13,10.2270263,43.9592225,4
3TO10360.14072017.115000154_1107,Non avviato,13,10.0969847,44.0773005,4
3TO10360.14072017.115000155_1162,In corso,13,10.2270263,43.9592225,4
3TO10360.14072017.115000157_1163,In corso,13,10.1758847,44.0176948,4
3TO10360.14072017.115000158_1165,In corso,13,10.4013088,43.7154909,4
3TO10360.14072017.115000159_1166,In corso,13,10.4013088,43.7154909,4
3TO10360.14072017.115000168_1174,In corso,13,11.096593,43.8805965,4
3TO10360.14072017.115000170_1176,In corso,13,11.554285,43.621218,4
3TO10360.14072017.115000171_1177,In corso,13,10.324941,44.1206579,4
3TO10360.14072017.115000172_1178,In corso,13,11.554285,43.621218,4
3TO10360.14072017.115000173_1179,In corso,13,9.994162,44.314678,4
3TO10360.14072017.115000174_1180,In corso,13,10.3421369,43.8685193,4
3TO10360.14072017.115000175_1181,In corso,13,11.6322933,43.5928286,4
3TO10360.14072017.115000177_1183,In corso,13,11.6322933,43.5928286,4
3TO10360.14072017.115000178_1184,In corso,13,11.6322933,43.5928286,4
3TO10360.14072017.115000180_1186,In corso,13,10.8594564,43.4018224,4
3TO10360.14072017.115000182_1188,Non avviato,13,11.1844276,43.656667,4
3TO10360.14072017.115000183_1189,Non avviato,13,11.2297105,43.2569076,4
3TO10360.14072017.115000185_1192,Non avviato,13,10.9265525,43.7869086,4
3TO10360.14072017.115000187_1194,In corso,13,10.42087,43.71216,4
3TO10360.14072017.115000188_1195,In corso,13,11.35569,43.99716,4
3TO10360.14072017.115000190_1198,In corso,13,10.7085759,43.8816679,4
3TO10360.14072017.115000192_1191,In corso,13,11.669247,42.635081,4
3TO10360.14072017.115000194_1203,Non avviato,13,10.4013088,43.7154909,4
3TO10360.14072017.115000195_1204,In corso,13,11.2518479,43.8103548,4
3TO10360.14072017.115000202_1211,In corso,13,11.4219064,43.2313599,4
3TO10360.14072017.115000204_1197,In corso,13,10.308857,43.5525705,4
3TO10360.14072017.115000205_1214,In corso,13,10.7474186,43.8407894,4
3TO10360.14072017.115000206_1215,In corso,13,10.4848846,44.0740551,4
3TO10360.14072017.115000207_1217,In corso,13,9.9513945,44.2918115,4
3TO10360.14072017.115000211_1141,In corso,13,11.0160694,43.1306661,4
3TO10360.14072017.115000213_1221,In corso,13,11.7743675,43.7261458,4
3TO10360.14072017.115000217_1225,In corso,13,10.207678,44.17028,4
3TO10360.14072017.115000219_1228,In corso,13,11.567521,43.523713,4
3TO10360.14072017.115000221_1230,In corso,13,12.803457,43.688883,4
3TO10360.14072017.115000222_1199,In corso,13,10.308857,43.5525705,4
3TO10360.14072017.115000223_1200,In corso,13,10.308857,43.5525705,4
3TO10360.14072017.115000224_1231,In corso,13,10.4353273,44.0608249,4
3TO10360.14072017.115000226_1233,In corso,13,10.8597101,43.4020964,4
3TO10360.14072017.115000232_1239,In corso,13,10.0969847,44.0773005,4
3TO10360.14072017.115000233_1240,In corso,13,11.7369401,43.2121418,4
3TO10360.14072017.115000235_1242,In corso,13,10.3473088,44.1683203,4
3TO10360.14072017.115000236_1243,In corso,13,11.818174,43.6944999,4
3TO10360.14072017.115000239_1247,In corso,13,9.9513945,44.2918115,4
3TO10360.14072017.115000240_1248,Non avviato,13,10.5434512,43.9783798,4
3TO10360.14072017.115000243_1251,In corso,13,12.041785,43.668624,4
3TO10360.14072017.115000244_1252,In corso,13,10.7452254,43.6996712,4
3TO10360.14072017.115000245_1253,In corso,13,10.7452254,43.6996712,4
3TO10360.14072017.115000246_1254,In corso,13,11.3325375,43.3437349,4
3TO10360.14072017.115000251_1259,In corso,13,11.8313564,43.0586808,4
3TO10360.14072017.115000252_1261,In corso,13,11.3330351,42.6879346,4
3TO10360.14072017.115000262_1270,In corso,13,11.818174,43.6944999,4
3TO10360.14072017.115000267_1275,In corso,13,10.4848846,44.0740551,4
3TO10360.14072017.115000272_1280,In corso,13,11.2813175,43.9065891,4
3TO10360.14072017.115000284_1292,In corso,13,10.324941,44.1206579,4
3TO10360.14072017.115000287_1294,Non avviato,13,10.4719296,43.4053054,4
3TO10360.14072017.115000289_1115,In corso,13,11.5588336,42.9285349,4
3TO10360.14072017.115000291_1298,In corso,13,7.7255918,44.5518013,4
3TO10360.14072017.115000303_1310,In corso,13,11.567521,43.523713,4
3TO10360.14072017.115000313_1319,Non avviato,13,10.8776439,43.7595883,4
3TO10360.14072017.115000314_1320,In corso,13,10.692132,43.6990555,4
3TO10360.14072017.115000315_1321,In corso,13,10.4400626,43.6835723,4
3TO10360.14072017.115000318_1103,In corso,13,11.7665145,42.8968706,4
3TO10360.14072017.115000334_1337,In corso,13,11.9344057,43.6999838,4
3TO10577.18102016.097000001_1020,In corso,013:::043,11.1169476,43.4211832,4
3TO10577.18102016.097000001_1025,In corso,013:::055,11.148001,43.46782,4
3TO10577.18102016.097000001_1026,Concluso,13,11.1464963,43.4669977,4
3TO10577.18102016.097000003_1095,In corso,013:::043,10.501447,43.8442504,4
3TO10577.18102016.097000003_1104,In corso,013:::055,10.501447,43.8442504,4
3TO10577.18102016.097000004_1060,In corso,013:::043,10.4719296,43.4053054,4
3TO10577.18102016.097000005_1032,In corso,13,11.096593,43.8805965,4
3TO10577.18102016.097000005_1045,In corso,013:::055,11.096593,43.8805965,4
3TO10577.18102016.097000006_1062,Non avviato,013:::043,10.4013088,43.7154909,4
3TO10577.18102016.097000007_1077,In corso,013:::055,10.9473677,43.7190335,4
3TO10577.18102016.097000007_1080,In corso,13,10.9473677,43.7190335,4
3TO10577.18102016.097000007_1083,In corso,13,10.9473677,43.7190335,4
3TO10577.18102016.097000007_1106,In corso,013:::055,10.9473677,43.7190335,4
3TO10577.18102016.097000007_1107,In corso,013:::055,10.9473677,43.7190335,4
3TO10577.18102016.097000008_1090,In corso,13,10.518632,43.312145,4
3TO10577.18102016.097000008_1093,In corso,013:::055,10.518632,43.312145,4
3TO10577.18102016.097000008_1094,In corso,013:::043,10.518632,43.312145,4
3TO15892.31102017.120000004_1004,Non avviato,90,11.018229,43.8140726,5
3TO15892.31102017.120000012_1012,Non avviato,90,11.1672668,43.8651873,5
3TO15892.31102017.120000013_1013,In corso,90,11.1672668,43.8651873,5
3TO2685.28022017.107000002_1002,In corso,90,11.3911147,43.1685174,5
3TO2685.28022017.107000004_1004,In corso,90,11.1822382,43.7580964,5
3TO2685.28022017.107000006_1006,Non avviato,90,11.0199674,43.7297768,5
3TO2685.28022017.107000007_1007,In corso,90,11.3877463,43.9547867,5
3TO2685.28022017.107000008_1008,In corso,90,10.9473677,43.7190335,5
